iter	MAE
0	14.10555436
1	14.0030877
2	13.80625774
3	13.58737061
4	13.47078743
5	13.37799825
6	13.34987436
7	13.19984841
8	13.06180286
9	13.03699187
10	13.01250085
11	12.93149286
12	12.77763617
13	12.66688652
14	12.54196276
15	12.47246619
16	12.39651217
17	12.25314203
18	12.15877912
19	12.06419132
20	11.96711719
21	11.82874301
22	11.75716829
23	11.60991581
24	11.55392129
25	11.44321947
26	11.3376644
27	11.26151066
28	11.15180899
29	11.06419759
30	10.84690247
31	10.73506073
32	10.69386635
33	10.62717406
34	10.52090392
35	10.46437531
36	10.40693528
37	10.35754884
38	10.35198892
39	10.22681378
40	10.17786839
41	10.11334316
42	10.037241
43	9.925462762
44	9.805843716
45	9.78998974
46	9.713372288
47	9.634971549
48	9.589745353
49	9.523423505
50	9.475131558
51	9.412535352
52	9.362755336
53	9.295306294
54	9.241870263
55	9.235439799
56	9.190271836
57	9.162192531
58	9.135690708
59	9.089193996
60	9.003830143
61	8.920933861
62	8.848776259
63	8.783021957
64	8.666559322
65	8.63250735
66	8.600384985
67	8.58157593
68	8.45518458
69	8.391977581
70	8.355981404
71	8.315502117
72	8.293082916
73	8.219667017
74	8.162329031
75	8.100318144
76	8.090915652
77	8.006282251
78	7.964285856
79	7.933219255
80	7.887036439
81	7.881617951
82	7.828419541
83	7.797208264
84	7.750194093
85	7.697429968
86	7.614824379
87	7.605577404
88	7.541980271
89	7.507607228
90	7.446046632
91	7.417093076
92	7.362607382
93	7.345336889
94	7.344000817
95	7.286315761
96	7.21721139
97	7.128474703
98	7.105033992
99	7.023184366
100	6.968162828
101	6.935123259
102	6.930792921
103	6.907637626
104	6.860113294
105	6.836934632
106	6.823083203
107	6.810755698
108	6.78066526
109	6.716680536
110	6.705372221
111	6.647895074
112	6.589244917
113	6.557299306
114	6.536456964
115	6.516992592
116	6.481914385
117	6.427218435
118	6.407671355
119	6.366424795
120	6.336747583
121	6.314417278
122	6.301355476
123	6.257129477
124	6.240609022
125	6.211917548
126	6.192989922
127	6.172019437
128	6.113735967
129	6.069038334
130	6.026967596
131	5.979875178
132	5.938095499
133	5.9078392
134	5.878011443
135	5.837065683
136	5.803475784
137	5.794919949
138	5.759208606
139	5.72741888
140	5.70472707
141	5.698189691
142	5.643373302
143	5.629751807
144	5.600899712
145	5.570880874
146	5.534036047
147	5.517102405
148	5.483770856
149	5.472058756
150	5.438276808
151	5.414824499
152	5.370459118
153	5.334969125
154	5.320597474
155	5.317094569
156	5.28133948
157	5.228970688
158	5.194885414
159	5.174365884
160	5.168499849
161	5.133767947
162	5.097998449
163	5.071870115
164	5.056665596
165	5.032410132
166	4.995691011
167	4.983326692
168	4.943952763
169	4.929176147
170	4.874529788
171	4.847829344
172	4.818944593
173	4.785381905
174	4.768591871
175	4.749945873
176	4.692184291
177	4.673053367
178	4.644774353
179	4.615403427
180	4.604208338
181	4.582001562
182	4.568106546
183	4.550778254
184	4.533455412
185	4.513385322
186	4.499914598
187	4.46959681
188	4.455612551
189	4.437818848
190	4.404132748
191	4.382917176
192	4.373903058
193	4.353435376
194	4.323521433
195	4.304055303
196	4.279992749
