iter	Passed	Remaining
0	146	73099
1	151	37728
2	179	29713
3	206	25608
4	234	23238
5	257	21210
6	266	18798
7	297	18302
8	329	17977
9	346	16984
10	362	16108
11	392	15970
12	422	15839
13	450	15642
14	478	15463
15	506	15332
16	532	15137
17	560	15000
18	586	14853
19	617	14808
20	646	14738
21	673	14641
22	700	14535
23	727	14436
24	754	14342
25	782	14273
26	811	14213
27	838	14132
28	866	14068
29	896	14045
30	923	13970
31	954	13956
32	981	13894
33	1007	13810
34	1033	13734
35	1060	13669
36	1087	13606
37	1114	13553
38	1132	13382
39	1159	13338
40	1184	13260
41	1211	13207
42	1237	13155
43	1264	13106
44	1292	13064
45	1314	12976
46	1341	12933
47	1369	12892
48	1395	12842
49	1422	12798
50	1449	12761
51	1491	12848
52	1518	12805
53	1545	12764
54	1572	12725
55	1590	12609
56	1618	12575
57	1645	12538
58	1671	12495
59	1699	12464
60	1726	12424
61	1753	12386
62	1780	12350
63	1808	12317
64	1835	12282
65	1857	12215
66	1883	12174
67	1911	12141
68	1939	12112
69	1966	12077
70	1992	12040
71	2020	12007
72	2047	11976
73	2074	11939
74	2101	11909
75	2128	11875
76	2141	11766
77	2168	11731
78	2196	11705
79	2223	11675
80	2266	11723
81	2283	11640
82	2309	11605
83	2336	11569
84	2363	11538
85	2389	11504
86	2416	11471
87	2438	11417
88	2464	11382
89	2491	11348
90	2518	11318
91	2545	11289
92	2571	11255
93	2597	11220
94	2606	11112
95	2632	11079
96	2659	11050
97	2687	11023
98	2713	10993
99	2740	10963
100	2769	10939
101	2796	10911
102	2805	10811
103	2831	10780
104	2857	10751
105	2883	10719
106	2906	10675
107	2933	10647
108	2960	10618
109	2987	10591
110	3014	10563
111	3042	10538
112	3069	10511
113	3110	10531
114	3144	10526
115	3182	10533
116	3208	10501
117	3234	10471
118	3262	10445
119	3289	10415
120	3316	10387
121	3342	10357
122	3368	10325
123	3395	10294
124	3421	10264
125	3448	10235
126	3475	10206
127	3502	10177
128	3528	10146
129	3555	10118
130	3581	10087
131	3608	10059
132	3645	10058
133	3715	10148
134	3756	10156
135	3802	10178
136	3837	10167
137	3863	10134
138	3889	10102
139	3915	10069
140	3941	10036
141	3968	10005
142	3995	9974
143	4022	9943
144	4048	9911
145	4074	9879
146	4101	9850
147	4129	9820
148	4156	9790
149	4182	9759
150	4209	9728
151	4236	9698
152	4262	9667
153	4289	9636
154	4315	9604
155	4341	9574
156	4368	9544
157	4395	9514
158	4422	9485
159	4450	9456
160	4478	9429
161	4505	9399
162	4531	9368
163	4557	9338
164	4584	9307
165	4611	9277
166	4638	9248
167	4665	9219
168	4691	9188
169	4719	9161
170	4746	9132
171	4773	9103
172	4800	9074
173	4828	9045
174	4854	9016
175	4882	8988
176	4910	8961
177	4937	8931
178	4964	8902
179	4991	8873
180	5017	8843
181	5044	8813
182	5071	8784
183	5098	8755
184	5125	8727
185	5152	8698
186	5179	8669
187	5205	8638
188	5232	8609
189	5258	8579
190	5284	8549
191	5310	8519
192	5336	8488
193	5363	8459
194	5389	8429
195	5415	8399
196	5441	8369
197	5469	8342
198	5495	8311
199	5521	8281
200	5547	8251
201	5573	8221
202	5599	8192
203	5625	8163
204	5651	8133
205	5678	8103
206	5705	8075
207	5731	8046
208	5760	8020
209	5787	7992
210	5830	7986
211	5862	7963
212	5888	7934
213	5916	7906
214	5942	7876
215	5971	7851
216	5997	7822
217	6024	7792
218	6051	7764
219	6078	7735
220	6105	7707
221	6131	7678
222	6158	7649
223	6184	7620
224	6212	7592
225	6239	7564
226	6265	7534
227	6292	7506
228	6318	7477
229	6345	7448
230	6373	7421
231	6399	7392
232	6426	7363
233	6453	7336
234	6481	7309
235	6508	7280
236	6534	7251
237	6561	7223
238	6588	7195
239	6615	7166
240	6641	7137
241	6683	7125
242	6720	7108
243	6750	7082
244	6782	7059
245	6828	7050
246	6862	7029
247	6900	7012
248	6933	6989
249	6970	6970
250	7007	6951
251	7041	6929
252	7071	6903
253	7114	6890
254	7145	6865
255	7177	6840
256	7230	6836
257	7261	6811
258	7291	6784
259	7320	6756
260	7347	6727
261	7372	6697
262	7398	6667
263	7425	6637
264	7453	6609
265	7479	6579
266	7506	6550
267	7533	6521
268	7559	6491
269	7585	6461
270	7611	6432
271	7638	6402
272	7664	6373
273	7690	6343
274	7717	6314
275	7740	6281
276	7767	6252
277	7793	6223
278	7820	6194
279	7846	6165
280	7873	6136
281	7900	6107
282	7926	6077
283	7954	6049
284	7991	6028
285	8026	6006
286	8054	5977
287	8081	5948
288	8108	5919
289	8135	5891
290	8161	5861
291	8187	5832
292	8213	5802
293	8240	5773
294	8266	5744
295	8293	5715
296	8320	5686
297	8347	5658
298	8374	5629
299	8401	5601
300	8427	5571
301	8456	5544
302	8489	5519
303	8521	5494
304	8553	5468
305	8590	5446
306	8617	5417
307	8644	5388
308	8670	5359
309	8697	5330
310	8723	5301
311	8750	5272
312	8780	5245
