event_id,registered,visitors,repeat_visitors,new_visitors,fill_rate_pct,no_show_rate_pct,data_source
EV_0001,74,60,0,60,100.0,18.9,synthetic
EV_0002,99,83,35,48,69.4,16.2,synthetic
EV_0003,78,76,32,44,63.0,2.6,synthetic
EV_0004,48,41,18,23,68.6,14.6,synthetic
EV_0005,54,50,23,27,41.3,7.4,synthetic
EV_0006,71,64,30,34,53.3,9.9,synthetic
EV_0007,66,60,26,34,100.0,9.1,synthetic
EV_0008,56,46,22,24,77.2,17.9,synthetic
EV_0009,106,94,41,53,78.7,11.3,synthetic
EV_0010,52,45,19,26,74.6,13.5,synthetic
EV_0011,63,55,26,29,92.2,12.7,synthetic
EV_0012,97,90,37,53,74.7,7.2,synthetic
EV_0013,46,37,16,21,61.7,19.6,synthetic
EV_0014,58,51,23,28,42.9,12.1,synthetic
EV_0015,73,63,29,34,52.4,13.7,synthetic
EV_0016,88,84,37,47,70.3,4.5,synthetic
EV_0017,39,38,16,22,63.5,2.6,synthetic
EV_0018,110,106,51,55,88.2,3.6,synthetic
EV_0019,59,51,25,26,84.8,13.6,synthetic
EV_0020,76,63,29,34,52.7,17.1,synthetic
EV_0021,56,48,20,28,79.3,14.3,synthetic
EV_0022,61,58,29,29,48.1,4.9,synthetic
EV_0023,85,75,39,36,62.9,11.8,synthetic
EV_0024,84,80,38,42,66.7,4.8,synthetic
EV_0025,29,26,0,26,43.8,10.3,synthetic
EV_0026,106,96,26,70,79.6,9.4,synthetic
EV_0027,87,82,35,47,68.5,5.7,synthetic
EV_0028,61,59,24,35,49.0,3.3,synthetic
EV_0029,52,44,20,24,73.6,15.4,synthetic
EV_0030,59,49,21,28,41.0,16.9,synthetic
EV_0031,56,52,20,32,43.3,7.1,synthetic
EV_0032,82,76,36,40,63.7,7.3,synthetic
EV_0033,68,63,31,32,52.7,7.4,synthetic
EV_0034,53,49,23,26,40.9,7.5,synthetic
EV_0035,68,62,28,34,51.5,8.8,synthetic
EV_0036,39,35,0,35,58.2,10.3,synthetic
EV_0037,58,51,20,31,85.8,12.1,synthetic
EV_0038,43,42,16,26,70.2,2.3,synthetic
EV_0039,117,95,37,58,78.9,18.8,synthetic
EV_0040,103,90,38,52,75.3,12.6,synthetic
EV_0041,42,37,15,22,62.2,11.9,synthetic
EV_0042,82,71,0,71,59.3,13.4,synthetic
EV_0043,145,120,53,67,100.0,17.2,synthetic
EV_0044,46,40,18,22,66.1,13.0,synthetic
EV_0045,103,88,40,48,73.6,14.6,synthetic
EV_0046,58,52,21,31,43.2,10.3,synthetic
EV_0047,50,48,22,26,79.5,4.0,synthetic
EV_0048,91,86,38,48,71.8,5.5,synthetic
EV_0049,98,83,0,83,68.9,15.3,synthetic
EV_0050,51,47,20,27,77.8,7.8,synthetic
EV_0051,32,31,13,18,51.5,3.1,synthetic
EV_0052,48,39,17,22,65.4,18.8,synthetic
EV_0053,48,42,18,24,69.4,12.5,synthetic
EV_0054,34,30,14,16,49.3,11.8,synthetic
EV_0055,131,107,49,58,89.0,18.3,synthetic
EV_0056,45,41,0,41,68.2,8.9,synthetic
EV_0057,70,64,27,37,53.4,8.6,synthetic
EV_0058,73,65,28,37,54.3,11.0,synthetic
EV_0059,37,35,16,19,59.0,5.4,synthetic
EV_0060,89,83,37,46,69.5,6.7,synthetic
EV_0061,69,64,30,34,53.5,7.2,synthetic
EV_0062,35,31,14,17,51.0,11.4,synthetic
EV_0063,57,54,25,29,90.0,5.3,synthetic
EV_0064,90,74,33,41,61.7,17.8,synthetic
EV_0065,40,39,18,21,64.6,2.5,synthetic
EV_0066,72,60,27,33,100.0,16.7,synthetic
EV_0067,47,46,21,25,76.9,2.1,synthetic
EV_0068,70,68,33,35,56.3,2.9,synthetic
EV_0069,104,86,45,41,71.6,17.3,synthetic
EV_0070,100,90,39,51,74.7,10.0,synthetic
EV_0071,68,60,28,32,100.0,11.8,synthetic
EV_0072,55,45,23,22,75.2,18.2,synthetic
EV_0073,146,120,56,64,100.0,17.8,synthetic
EV_0074,53,49,23,26,81.0,7.5,synthetic
EV_0075,68,60,26,34,100.0,11.8,synthetic
EV_0076,66,60,30,30,100.0,9.1,synthetic
EV_0077,44,42,22,20,35.4,4.5,synthetic
EV_0078,110,105,48,57,87.7,4.5,synthetic
EV_0079,129,120,0,120,100.0,7.0,synthetic
EV_0080,76,74,30,44,61.4,2.6,synthetic
EV_0081,104,101,43,58,84.5,2.9,synthetic
EV_0082,112,97,41,56,81.2,13.4,synthetic
EV_0083,30,29,12,17,48.6,3.3,synthetic
EV_0084,37,34,15,19,57.1,8.1,synthetic
EV_0085,69,60,27,33,100.0,13.0,synthetic
EV_0086,72,60,24,36,100.0,16.7,synthetic
EV_0087,62,57,26,31,47.5,8.1,synthetic
EV_0088,124,114,49,65,94.8,8.1,synthetic
EV_0089,131,105,52,53,87.5,19.8,synthetic
EV_0090,68,60,27,33,100.0,11.8,synthetic
EV_0091,69,60,30,30,100.0,13.0,synthetic
EV_0092,59,56,28,28,93.1,5.1,synthetic
EV_0093,77,74,41,33,62.0,3.9,synthetic
EV_0094,32,30,16,14,49.2,6.2,synthetic
EV_0095,93,78,36,42,64.6,16.1,synthetic
EV_0096,84,73,37,36,60.7,13.1,synthetic
EV_0097,132,106,55,51,88.7,19.7,synthetic
EV_0098,99,89,47,42,74.1,10.1,synthetic
EV_0099,63,60,27,33,50.0,4.8,synthetic
EV_0100,53,47,23,24,78.4,11.3,synthetic
EV_0101,64,57,33,24,94.7,10.9,synthetic
EV_0102,109,93,43,50,77.6,14.7,synthetic
EV_0103,143,120,55,65,100.0,16.1,synthetic
EV_0104,70,60,31,29,100.0,14.3,synthetic
EV_0105,63,55,26,29,92.1,12.7,synthetic
EV_0106,62,60,28,32,100.0,3.2,synthetic
EV_0107,42,35,0,35,57.6,16.7,synthetic
EV_0108,98,85,0,85,70.5,13.3,synthetic
EV_0109,61,50,21,29,83.8,18.0,synthetic
EV_0110,36,32,14,18,53.6,11.1,synthetic
EV_0111,71,67,32,35,56.2,5.6,synthetic
EV_0112,67,59,27,32,49.5,11.9,synthetic
