visitor_id,age,age_group,favorite_event_type,visit_count_2026,feedback_count_2026,avg_rating,engagement_score,data_source
VIS_00001,64,senior,Лекция,1,0,0.0,7.0,synthetic
VIS_00002,57,mature,Лекция,1,0,0.0,7.0,synthetic
VIS_00003,48,mature,Концерт,1,0,0.0,7.0,synthetic
VIS_00004,63,senior,Выставка,1,0,0.0,7.0,synthetic
VIS_00005,27,young,Лекция,3,1,5.0,51.0,synthetic
VIS_00006,27,young,Выставка,1,0,0.0,7.0,synthetic
VIS_00007,40,adult,Лекция,3,1,4.0,46.0,synthetic
VIS_00008,47,mature,Творческая встреча,6,0,0.0,42.0,synthetic
VIS_00009,33,adult,Творческая встреча,5,0,0.0,35.0,synthetic
VIS_00010,26,young,Творческая встреча,4,2,3.5,55.5,synthetic
VIS_00011,36,adult,Лекция,1,1,5.0,37.0,synthetic
VIS_00012,25,young,Выставка,3,2,5.0,56.0,synthetic
VIS_00013,45,mature,Творческая встреча,9,1,5.0,93.0,synthetic
VIS_00014,34,adult,Лекция,7,1,5.0,79.0,synthetic
VIS_00015,53,mature,Выставка,1,0,0.0,7.0,synthetic
VIS_00016,44,adult,Лекция,5,1,5.0,65.0,synthetic
VIS_00017,52,mature,Лекция,2,1,5.0,44.0,synthetic
VIS_00018,41,adult,Мастер-класс,1,1,5.0,37.0,synthetic
VIS_00019,31,adult,Лекция,3,1,4.0,46.0,synthetic
VIS_00020,32,adult,Творческая встреча,13,3,4.67,100.0,synthetic
VIS_00021,37,adult,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00022,45,mature,Лекция,10,1,4.0,95.0,synthetic
VIS_00023,47,mature,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00024,37,adult,Лекция,5,1,3.0,55.0,synthetic
VIS_00025,40,adult,Лекция,3,0,0.0,21.0,synthetic
VIS_00026,64,senior,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00027,32,adult,Лекция,3,1,4.0,46.0,synthetic
VIS_00028,37,adult,Лекция,8,4,4.5,98.5,synthetic
VIS_00029,30,adult,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00030,34,adult,Мастер-класс,3,0,0.0,21.0,synthetic
VIS_00031,54,mature,Творческая встреча,4,1,4.0,53.0,synthetic
VIS_00032,44,adult,Лекция,2,0,0.0,14.0,synthetic
VIS_00033,59,mature,Концерт,2,0,0.0,14.0,synthetic
VIS_00034,44,adult,Лекция,9,0,0.0,63.0,synthetic
VIS_00035,56,mature,Концерт,1,1,5.0,37.0,synthetic
VIS_00036,35,adult,Выставка,5,2,4.5,67.5,synthetic
VIS_00037,49,mature,Выставка,4,1,5.0,58.0,synthetic
VIS_00038,30,adult,Лекция,7,3,5.0,89.0,synthetic
VIS_00039,34,adult,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00040,36,adult,Лекция,9,1,5.0,93.0,synthetic
VIS_00041,58,mature,Творческая встреча,2,1,1.0,24.0,synthetic
VIS_00042,33,adult,Творческая встреча,7,0,0.0,49.0,synthetic
VIS_00043,47,mature,Творческая встреча,5,1,5.0,65.0,synthetic
VIS_00044,39,adult,Мастер-класс,5,2,4.0,65.0,synthetic
VIS_00045,39,adult,Концерт,4,1,2.0,43.0,synthetic
VIS_00046,39,adult,Лекция,2,2,3.5,41.5,synthetic
VIS_00047,40,adult,Лекция,6,0,0.0,42.0,synthetic
VIS_00048,35,adult,Выставка,6,3,4.33,78.6,synthetic
VIS_00049,42,adult,Лекция,2,0,0.0,14.0,synthetic
VIS_00050,44,adult,Концерт,3,1,2.0,36.0,synthetic
VIS_00051,49,mature,Выставка,1,0,0.0,7.0,synthetic
VIS_00052,56,mature,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00053,43,adult,Мастер-класс,1,1,3.0,27.0,synthetic
VIS_00054,25,young,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00055,49,mature,Выставка,2,0,0.0,14.0,synthetic
VIS_00056,49,mature,Выставка,2,1,5.0,44.0,synthetic
VIS_00057,52,mature,Концерт,2,0,0.0,14.0,synthetic
VIS_00058,51,mature,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00059,56,mature,Концерт,1,0,0.0,7.0,synthetic
VIS_00060,48,mature,Творческая встреча,7,3,3.33,80.6,synthetic
VIS_00061,36,adult,Лекция,8,2,4.0,86.0,synthetic
VIS_00062,25,young,Выставка,6,2,4.0,72.0,synthetic
VIS_00063,42,adult,Творческая встреча,1,1,5.0,37.0,synthetic
VIS_00064,56,mature,Лекция,6,3,4.0,77.0,synthetic
VIS_00065,45,mature,Мастер-класс,4,1,5.0,58.0,synthetic
VIS_00066,30,adult,Лекция,2,0,0.0,14.0,synthetic
VIS_00067,21,young,Концерт,5,0,0.0,35.0,synthetic
VIS_00068,40,adult,Творческая встреча,5,1,3.0,55.0,synthetic
VIS_00069,18,young,Концерт,1,0,0.0,7.0,synthetic
VIS_00070,40,adult,Лекция,4,1,5.0,58.0,synthetic
VIS_00071,17,school,Лекция,1,0,0.0,7.0,synthetic
VIS_00072,38,adult,Лекция,4,0,0.0,28.0,synthetic
VIS_00073,29,young,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00074,18,young,Выставка,1,0,0.0,7.0,synthetic
VIS_00075,38,adult,Лекция,8,1,5.0,86.0,synthetic
VIS_00076,43,adult,Концерт,4,1,2.0,43.0,synthetic
VIS_00077,38,adult,Лекция,10,0,0.0,70.0,synthetic
VIS_00078,37,adult,Лекция,3,0,0.0,21.0,synthetic
VIS_00079,41,adult,Творческая встреча,1,1,5.0,37.0,synthetic
VIS_00080,47,mature,Лекция,1,0,0.0,7.0,synthetic
VIS_00081,42,adult,Лекция,6,2,1.5,59.5,synthetic
VIS_00082,25,young,Лекция,1,0,0.0,7.0,synthetic
VIS_00083,35,adult,Концерт,2,2,3.0,39.0,synthetic
VIS_00084,53,mature,Лекция,2,1,4.0,39.0,synthetic
VIS_00085,47,mature,Лекция,4,0,0.0,28.0,synthetic
VIS_00086,31,adult,Лекция,8,1,5.0,86.0,synthetic
VIS_00087,30,adult,Мастер-класс,3,0,0.0,21.0,synthetic
VIS_00088,37,adult,Лекция,2,0,0.0,14.0,synthetic
VIS_00089,17,school,Выставка,1,0,0.0,7.0,synthetic
VIS_00090,42,adult,Выставка,3,1,5.0,51.0,synthetic
VIS_00091,22,young,Лекция,5,2,2.0,55.0,synthetic
VIS_00092,34,adult,Лекция,5,0,0.0,35.0,synthetic
VIS_00093,53,mature,Лекция,1,0,0.0,7.0,synthetic
VIS_00094,45,mature,Концерт,3,0,0.0,21.0,synthetic
VIS_00095,37,adult,Лекция,5,3,3.0,65.0,synthetic
VIS_00096,33,adult,Лекция,3,0,0.0,21.0,synthetic
VIS_00097,46,mature,Концерт,5,0,0.0,35.0,synthetic
VIS_00098,49,mature,Лекция,6,3,3.67,75.4,synthetic
VIS_00099,59,mature,Выставка,1,0,0.0,7.0,synthetic
VIS_00100,46,mature,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00101,28,young,Лекция,6,2,4.5,74.5,synthetic
VIS_00102,44,adult,Лекция,2,1,5.0,44.0,synthetic
VIS_00103,43,adult,Творческая встреча,7,1,3.0,69.0,synthetic
VIS_00104,19,young,Творческая встреча,3,0,0.0,21.0,synthetic
VIS_00105,46,mature,Лекция,1,0,0.0,7.0,synthetic
VIS_00106,35,adult,Лекция,8,2,4.5,88.5,synthetic
VIS_00107,37,adult,Лекция,4,1,5.0,58.0,synthetic
VIS_00108,42,adult,Творческая встреча,4,1,1.0,38.0,synthetic
VIS_00109,63,senior,Выставка,1,0,0.0,7.0,synthetic
VIS_00110,28,young,Выставка,3,0,0.0,21.0,synthetic
VIS_00111,35,adult,Лекция,8,4,4.0,96.0,synthetic
VIS_00112,25,young,Концерт,2,0,0.0,14.0,synthetic
