event_id,institution_id,venue_id,event_name,event_type,date,day_of_week,start_time,duration_min,capacity,price_rub,target_age_min,target_age_max,data_source
EV_0001,INST_001,INST_001_V1,Галерея современного искусства,Выставка,2026-01-10,Saturday,18:00,120,60,300,14,70,synthetic
EV_0002,INST_001,INST_001_V2,Образовательная встреча,Лекция,2026-01-24,Saturday,15:00,120,120,100,16,65,synthetic
EV_0003,INST_001,INST_001_V2,Лекция об искусстве,Лекция,2026-02-08,Sunday,17:00,90,120,100,16,65,synthetic
EV_0004,INST_001,INST_001_V1,Диалог с искусством,Выставка,2026-02-23,Monday,16:00,180,60,300,14,70,synthetic
EV_0005,INST_001,INST_001_V2,Образовательная встреча,Лекция,2026-03-10,Tuesday,13:00,90,120,100,16,65,synthetic
EV_0006,INST_001,INST_001_V2,Лекция об искусстве,Лекция,2026-03-25,Wednesday,13:00,120,120,200,16,65,synthetic
EV_0007,INST_001,INST_001_V1,Творческий мастер-класс,Мастер-класс,2026-04-09,Thursday,15:00,90,60,200,10,55,synthetic
EV_0008,INST_001,INST_001_V1,Творческий мастер-класс,Мастер-класс,2026-04-24,Friday,17:00,90,60,400,10,55,synthetic
EV_0009,INST_001,INST_001_V2,Встреча с автором,Творческая встреча,2026-05-09,Saturday,14:00,90,120,100,16,65,synthetic
EV_0010,INST_001,INST_001_V1,Новая экспозиция,Выставка,2026-05-24,Sunday,18:00,120,60,150,14,70,synthetic
EV_0011,INST_001,INST_001_V1,Творческий мастер-класс,Мастер-класс,2026-06-08,Monday,17:00,90,60,0,10,55,synthetic
EV_0012,INST_001,INST_001_V2,Творческий вечер,Творческая встреча,2026-06-23,Tuesday,14:00,60,120,0,16,65,synthetic
EV_0013,INST_001,INST_001_V1,Открытая мастерская,Мастер-класс,2026-07-08,Wednesday,11:00,90,60,200,10,55,synthetic
EV_0014,INST_001,INST_001_V2,Лекция об искусстве,Лекция,2026-07-23,Thursday,17:00,60,120,0,16,65,synthetic
EV_0015,INST_001,INST_001_V2,Лекция об искусстве,Лекция,2026-08-07,Friday,13:00,60,120,0,16,65,synthetic
EV_0016,INST_001,INST_001_V2,Открытый разговор,Творческая встреча,2026-08-22,Saturday,12:00,90,120,200,16,65,synthetic
