institution_id,institution,center,institution_type,report_year,events_2025,events_2026,event_growth_pct,trained_people_total,resident_creators,creative_products_total,patents_copyrights_total,publications,service_revenue_total,data_quality,data_source
INST_001,Восточно-Сибирский ГИК,Центр прототипирования ВСГИК,Изобразительное искусство / культура,2026,29,24,-17.24137931034483,205,264,264,0.0,3,1134043.0,OK,official
INST_002,Уфимский ГИИ им. Загира Исмагилова,"Центр прототипирования: Центр прототипирования ""Центр исполнительских искусств""",Изобразительное искусство / культура,2026,24,11,-54.16666666666667,339,28,30,,8,1348248.0,расхождение мероприятий 2025; расхождение выручки,official
INST_003,Московский ГИК,Центр создания прототипов и макетов изделий,Изобразительное искусство / культура,2026,6,6,0.0,58,131,58,0.0,57,1936180.0,OK,official
INST_004,Академия акварели и изящных искусств Сергея Андрияки,Центр прототипирования и 3D технологий (название центра),Изобразительное искусство / культура,2026,7,7,0.0,105,21,21,0.0,4,149600.0,OK,official
INST_005,МГАХИ им. В.И. Сурикова,Белый квадрат,Изобразительное искусство / культура,2026,13,7,-46.15384615384615,329,329,200,,6,,расхождение мероприятий 2025; расхождение мероприятий 2026,official
INST_006,Алтайский ГИК,Центр цифрового контента,Изобразительное искусство / культура,2026,35,23,-34.28571428571428,420,356,115,0.0,47,1224900.0,OK,official
INST_007,Краснодарский ГИК,"""Центр исполнительских искусств""",Изобразительное искусство / культура,2026,13,28,115.3846153846154,395,395,397,0.0,104,450000.0,OK,official
INST_008,Пермское хореографическое училище / Театриум,ТЕАТРИУМ,Театр / хореографическое,2026,0,1,,50,0,0,0.0,6,0.0,OK,official
INST_009,Екатеринбургский ГТИ,Центр прототипирования,Культурное / образовательное,2026,8,10,25.0,99,33,315,0.0,182,2187565.0,OK,official
INST_010,ГМПИ им. М.М. Ипполитова-Иванова,"""Центр производства акустической музыки""",Культурное / образовательное,2026,4,6,50.0,17,55,71,0.0,43,936500.0,OK,official
INST_011,Воронежский ГИИ,«Центр исполнительских искусств и светового дизайна»,Изобразительное искусство / культура,2026,16,14,-12.5,172,160,35,0.0,31,3550500.0,OK,official
INST_012,СПбГИКиТ,"Центр прототипирования ""Цифра""",Изобразительное искусство / культура,2026,10,12,20.0,115,115,63,0.0,11,700501.0,OK,official
INST_013,Училище циркового и эстрадного искусства им. М.Н. Румянцева,Творческий инкубатор «Лонжа»,Цирковое / эстрадное,2026,0,1,,34,34,0,0.0,22,0.0,расхождение мероприятий 2026,official
INST_014,Орловский ГИК,Центр креативных индустрий,Изобразительное искусство / культура,2026,52,31,-40.38461538461539,1479,1479,31,0.0,72,4206001.0,OK,official
INST_015,Нижегородская государственная консерватория им. М.И. Глинки,Глинка-медиа,Музыкальное,2026,1,3,200.0,20,86,66,0.0,32,711500.0,OK,official
INST_016,Пермский ГИК,Центр саунд дизайна и визуальных технологий,Изобразительное искусство / культура,2026,3,2,-33.33333333333334,32,19,32,0.0,52,246890.0,OK,official
INST_017,Саратовская государственная консерватория им. Л.В. Собинова,"Центр креативных индустрий ""СОБИНОВ""",Музыкальное,2026,36,28,-22.22222222222222,241,263,263,0.0,25,2174000.0,OK,official
INST_018,Челябинский ГИК,"""ВКУБЕ""",Изобразительное искусство / культура,2026,8,9,12.5,50,55,22,0.0,30,1110000.0,OK,official
INST_019,Кемеровский ГИК,цифрового контента,Изобразительное искусство / культура,2026,8,2,-75.0,12,12,12,0.0,20,213750.0,OK,official
