venue_id,institution_id,venue_name,capacity,suitable_event_types,data_source
INST_001_V1,INST_001,Малая площадка — Восточно-Сибирский ГИК,60,"Выставка,Мастер-класс",synthetic
INST_001_V2,INST_001,Лекционный зал — Восточно-Сибирский ГИК,120,"Лекция,Творческая встреча",synthetic
INST_001_V3,INST_001,Большой зал — Восточно-Сибирский ГИК,220,"Концерт,Спектакль,Шоу",synthetic
INST_002_V1,INST_002,Малая площадка — Уфимский ГИИ им. Загира Исмагилова,60,"Выставка,Мастер-класс",synthetic
INST_002_V2,INST_002,Лекционный зал — Уфимский ГИИ им. Загира Исмагилова,120,"Лекция,Творческая встреча",synthetic
INST_002_V3,INST_002,Большой зал — Уфимский ГИИ им. Загира Исмагилова,220,"Концерт,Спектакль,Шоу",synthetic
INST_003_V1,INST_003,Малая площадка — Московский ГИК,60,"Выставка,Мастер-класс",synthetic
INST_003_V2,INST_003,Лекционный зал — Московский ГИК,120,"Лекция,Творческая встреча",synthetic
INST_003_V3,INST_003,Большой зал — Московский ГИК,220,"Концерт,Спектакль,Шоу",synthetic
INST_004_V1,INST_004,Малая площадка — Академия акварели и изящных искусств Сергея Андрияки,60,"Выставка,Мастер-класс",synthetic
INST_004_V2,INST_004,Лекционный зал — Академия акварели и изящных искусств Сергея Андрияки,120,"Лекция,Творческая встреча",synthetic
INST_004_V3,INST_004,Большой зал — Академия акварели и изящных искусств Сергея Андрияки,220,"Концерт,Спектакль,Шоу",synthetic
INST_005_V1,INST_005,Малая площадка — МГАХИ им. В.И. Сурикова,60,"Выставка,Мастер-класс",synthetic
INST_005_V2,INST_005,Лекционный зал — МГАХИ им. В.И. Сурикова,120,"Лекция,Творческая встреча",synthetic
INST_005_V3,INST_005,Большой зал — МГАХИ им. В.И. Сурикова,220,"Концерт,Спектакль,Шоу",synthetic
INST_006_V1,INST_006,Малая площадка — Алтайский ГИК,60,"Выставка,Мастер-класс",synthetic
INST_006_V2,INST_006,Лекционный зал — Алтайский ГИК,120,"Лекция,Творческая встреча",synthetic
INST_006_V3,INST_006,Большой зал — Алтайский ГИК,220,"Концерт,Спектакль,Шоу",synthetic
INST_007_V1,INST_007,Малая площадка — Краснодарский ГИК,60,"Выставка,Мастер-класс",synthetic
INST_007_V2,INST_007,Лекционный зал — Краснодарский ГИК,120,"Лекция,Творческая встреча",synthetic
INST_007_V3,INST_007,Большой зал — Краснодарский ГИК,220,"Концерт,Спектакль,Шоу",synthetic
INST_008_V1,INST_008,Малая площадка — Пермское хореографическое училище / Театриум,60,"Выставка,Мастер-класс",synthetic
INST_008_V2,INST_008,Лекционный зал — Пермское хореографическое училище / Театриум,120,"Лекция,Творческая встреча",synthetic
INST_008_V3,INST_008,Большой зал — Пермское хореографическое училище / Театриум,220,"Концерт,Спектакль,Шоу",synthetic
INST_009_V1,INST_009,Малая площадка — Екатеринбургский ГТИ,60,"Выставка,Мастер-класс",synthetic
INST_009_V2,INST_009,Лекционный зал — Екатеринбургский ГТИ,120,"Лекция,Творческая встреча",synthetic
INST_009_V3,INST_009,Большой зал — Екатеринбургский ГТИ,220,"Концерт,Спектакль,Шоу",synthetic
INST_010_V1,INST_010,Малая площадка — ГМПИ им. М.М. Ипполитова-Иванова,60,"Выставка,Мастер-класс",synthetic
INST_010_V2,INST_010,Лекционный зал — ГМПИ им. М.М. Ипполитова-Иванова,120,"Лекция,Творческая встреча",synthetic
INST_010_V3,INST_010,Большой зал — ГМПИ им. М.М. Ипполитова-Иванова,220,"Концерт,Спектакль,Шоу",synthetic
INST_011_V1,INST_011,Малая площадка — Воронежский ГИИ,60,"Выставка,Мастер-класс",synthetic
INST_011_V2,INST_011,Лекционный зал — Воронежский ГИИ,120,"Лекция,Творческая встреча",synthetic
INST_011_V3,INST_011,Большой зал — Воронежский ГИИ,220,"Концерт,Спектакль,Шоу",synthetic
INST_012_V1,INST_012,Малая площадка — СПбГИКиТ,60,"Выставка,Мастер-класс",synthetic
INST_012_V2,INST_012,Лекционный зал — СПбГИКиТ,120,"Лекция,Творческая встреча",synthetic
INST_012_V3,INST_012,Большой зал — СПбГИКиТ,220,"Концерт,Спектакль,Шоу",synthetic
INST_013_V1,INST_013,Малая площадка — Училище циркового и эстрадного искусства им. М.Н. Румянцева,60,"Выставка,Мастер-класс",synthetic
INST_013_V2,INST_013,Лекционный зал — Училище циркового и эстрадного искусства им. М.Н. Румянцева,120,"Лекция,Творческая встреча",synthetic
INST_013_V3,INST_013,Большой зал — Училище циркового и эстрадного искусства им. М.Н. Румянцева,220,"Концерт,Спектакль,Шоу",synthetic
INST_014_V1,INST_014,Малая площадка — Орловский ГИК,60,"Выставка,Мастер-класс",synthetic
INST_014_V2,INST_014,Лекционный зал — Орловский ГИК,120,"Лекция,Творческая встреча",synthetic
INST_014_V3,INST_014,Большой зал — Орловский ГИК,220,"Концерт,Спектакль,Шоу",synthetic
INST_015_V1,INST_015,Малая площадка — Нижегородская государственная консерватория им. М.И. Глинки,60,"Выставка,Мастер-класс",synthetic
INST_015_V2,INST_015,Лекционный зал — Нижегородская государственная консерватория им. М.И. Глинки,120,"Лекция,Творческая встреча",synthetic
INST_015_V3,INST_015,Большой зал — Нижегородская государственная консерватория им. М.И. Глинки,220,"Концерт,Спектакль,Шоу",synthetic
INST_016_V1,INST_016,Малая площадка — Пермский ГИК,60,"Выставка,Мастер-класс",synthetic
INST_016_V2,INST_016,Лекционный зал — Пермский ГИК,120,"Лекция,Творческая встреча",synthetic
INST_016_V3,INST_016,Большой зал — Пермский ГИК,220,"Концерт,Спектакль,Шоу",synthetic
INST_017_V1,INST_017,Малая площадка — Саратовская государственная консерватория им. Л.В. Собинова,60,"Выставка,Мастер-класс",synthetic
INST_017_V2,INST_017,Лекционный зал — Саратовская государственная консерватория им. Л.В. Собинова,120,"Лекция,Творческая встреча",synthetic
INST_017_V3,INST_017,Большой зал — Саратовская государственная консерватория им. Л.В. Собинова,220,"Концерт,Спектакль,Шоу",synthetic
INST_018_V1,INST_018,Малая площадка — Челябинский ГИК,60,"Выставка,Мастер-класс",synthetic
INST_018_V2,INST_018,Лекционный зал — Челябинский ГИК,120,"Лекция,Творческая встреча",synthetic
INST_018_V3,INST_018,Большой зал — Челябинский ГИК,220,"Концерт,Спектакль,Шоу",synthetic
INST_019_V1,INST_019,Малая площадка — Кемеровский ГИК,60,"Выставка,Мастер-класс",synthetic
INST_019_V2,INST_019,Лекционный зал — Кемеровский ГИК,120,"Лекция,Творческая встреча",synthetic
INST_019_V3,INST_019,Большой зал — Кемеровский ГИК,220,"Концерт,Спектакль,Шоу",synthetic
