visitor_id,event_id,institution_id,date,event_type
VIS_03373,EV_0001,INST_001,2026-01-10,Выставка
VIS_03133,EV_0001,INST_001,2026-01-10,Выставка
VIS_00827,EV_0001,INST_001,2026-01-10,Выставка
VIS_00075,EV_0001,INST_001,2026-01-10,Выставка
VIS_01217,EV_0001,INST_001,2026-01-10,Выставка
VIS_04592,EV_0001,INST_001,2026-01-10,Выставка
VIS_03128,EV_0001,INST_001,2026-01-10,Выставка
VIS_01062,EV_0001,INST_001,2026-01-10,Выставка
VIS_00267,EV_0001,INST_001,2026-01-10,Выставка
VIS_02182,EV_0001,INST_001,2026-01-10,Выставка
VIS_02075,EV_0001,INST_001,2026-01-10,Выставка
VIS_00913,EV_0001,INST_001,2026-01-10,Выставка
VIS_02907,EV_0001,INST_001,2026-01-10,Выставка
VIS_01371,EV_0001,INST_001,2026-01-10,Выставка
VIS_01198,EV_0001,INST_001,2026-01-10,Выставка
VIS_01262,EV_0001,INST_001,2026-01-10,Выставка
VIS_04065,EV_0001,INST_001,2026-01-10,Выставка
VIS_04496,EV_0001,INST_001,2026-01-10,Выставка
VIS_00038,EV_0001,INST_001,2026-01-10,Выставка
VIS_03910,EV_0001,INST_001,2026-01-10,Выставка
VIS_02036,EV_0001,INST_001,2026-01-10,Выставка
VIS_00081,EV_0001,INST_001,2026-01-10,Выставка
VIS_00849,EV_0001,INST_001,2026-01-10,Выставка
VIS_03678,EV_0001,INST_001,2026-01-10,Выставка
VIS_01284,EV_0001,INST_001,2026-01-10,Выставка
VIS_04275,EV_0001,INST_001,2026-01-10,Выставка
VIS_00077,EV_0001,INST_001,2026-01-10,Выставка
VIS_01220,EV_0001,INST_001,2026-01-10,Выставка
VIS_00871,EV_0001,INST_001,2026-01-10,Выставка
VIS_00717,EV_0001,INST_001,2026-01-10,Выставка
VIS_01090,EV_0001,INST_001,2026-01-10,Выставка
VIS_03686,EV_0001,INST_001,2026-01-10,Выставка
VIS_03639,EV_0001,INST_001,2026-01-10,Выставка
VIS_04157,EV_0001,INST_001,2026-01-10,Выставка
VIS_01652,EV_0001,INST_001,2026-01-10,Выставка
VIS_04613,EV_0001,INST_001,2026-01-10,Выставка
VIS_02581,EV_0001,INST_001,2026-01-10,Выставка
VIS_02228,EV_0001,INST_001,2026-01-10,Выставка
VIS_02931,EV_0001,INST_001,2026-01-10,Выставка
VIS_03956,EV_0001,INST_001,2026-01-10,Выставка
VIS_02546,EV_0001,INST_001,2026-01-10,Выставка
VIS_01331,EV_0001,INST_001,2026-01-10,Выставка
VIS_02236,EV_0001,INST_001,2026-01-10,Выставка
VIS_04982,EV_0001,INST_001,2026-01-10,Выставка
VIS_01061,EV_0001,INST_001,2026-01-10,Выставка
VIS_00125,EV_0001,INST_001,2026-01-10,Выставка
VIS_01806,EV_0001,INST_001,2026-01-10,Выставка
VIS_04414,EV_0001,INST_001,2026-01-10,Выставка
VIS_04575,EV_0001,INST_001,2026-01-10,Выставка
VIS_03935,EV_0001,INST_001,2026-01-10,Выставка
VIS_03979,EV_0001,INST_001,2026-01-10,Выставка
VIS_02353,EV_0001,INST_001,2026-01-10,Выставка
VIS_02482,EV_0001,INST_001,2026-01-10,Выставка
VIS_01722,EV_0001,INST_001,2026-01-10,Выставка
VIS_04022,EV_0001,INST_001,2026-01-10,Выставка
VIS_04094,EV_0001,INST_001,2026-01-10,Выставка
VIS_00920,EV_0001,INST_001,2026-01-10,Выставка
VIS_01154,EV_0001,INST_001,2026-01-10,Выставка
VIS_00387,EV_0001,INST_001,2026-01-10,Выставка
VIS_00737,EV_0001,INST_001,2026-01-10,Выставка
VIS_02072,EV_0025,INST_002,2026-01-10,Выставка
VIS_03779,EV_0025,INST_002,2026-01-10,Выставка
VIS_00111,EV_0025,INST_002,2026-01-10,Выставка
VIS_02342,EV_0025,INST_002,2026-01-10,Выставка
VIS_02735,EV_0025,INST_002,2026-01-10,Выставка
VIS_02175,EV_0025,INST_002,2026-01-10,Выставка
VIS_02180,EV_0025,INST_002,2026-01-10,Выставка
VIS_01251,EV_0025,INST_002,2026-01-10,Выставка
VIS_04724,EV_0025,INST_002,2026-01-10,Выставка
VIS_04035,EV_0025,INST_002,2026-01-10,Выставка
VIS_01971,EV_0025,INST_002,2026-01-10,Выставка
VIS_02882,EV_0025,INST_002,2026-01-10,Выставка
VIS_02486,EV_0025,INST_002,2026-01-10,Выставка
VIS_02820,EV_0025,INST_002,2026-01-10,Выставка
VIS_03113,EV_0025,INST_002,2026-01-10,Выставка
VIS_02160,EV_0025,INST_002,2026-01-10,Выставка
VIS_04058,EV_0025,INST_002,2026-01-10,Выставка
VIS_02534,EV_0025,INST_002,2026-01-10,Выставка
VIS_04180,EV_0025,INST_002,2026-01-10,Выставка
VIS_04675,EV_0025,INST_002,2026-01-10,Выставка
VIS_02031,EV_0025,INST_002,2026-01-10,Выставка
VIS_01676,EV_0025,INST_002,2026-01-10,Выставка
VIS_02427,EV_0025,INST_002,2026-01-10,Выставка
VIS_02596,EV_0025,INST_002,2026-01-10,Выставка
VIS_02660,EV_0025,INST_002,2026-01-10,Выставка
